"DATA/","CRISM_TYPESPEC_AL_SMECTITE.LBL      ","CRISM_TYPESPEC_AL_SMECTITE      ",2014-04-15T05:01:00,"FRT00003BFB_07_IF166J_TER3              ", 379,  58, 22.410, -18.221, 379,  76, 22.421, -18.223,"5x5  ","PHYLLOSILICATES                        ","AL_SMECTITE      ","BISHOPETAL2008      "
"DATA/","CRISM_TYPESPEC_ALUNITE.LBL          ","CRISM_TYPESPEC_ALUNITE          ",2014-04-15T05:01:00,"FRT0000B252_07_IF166J_TER3              ", 251, 413,-30.562,-157.960, 251, 295,-30.615,-157.959,"7x7  ","SULFATES                               ","ALUNITE          ","SWAYZEETAL2008      "
"DATA/","CRISM_TYPESPEC_ANALCIME.LBL         ","CRISM_TYPESPEC_ANALCIME         ",2014-04-15T05:01:00,"FRT00009312_07_IF166J_TER3              ", 243, 413, 19.982,  65.883, 243, 399, 19.975,  65.884,"5x5  ","OTHER HYDRATED SILICATES AND HALIDES   ","ANALCIME         ","EHLMANNETAL2009     "
"DATA/","CRISM_TYPESPEC_BASSANITE.LBL        ","CRISM_TYPESPEC_BASSANITE        ",2014-04-15T05:01:00,"FRT00009326_07_IF167_TER3               ", 489, 385, 23.008, -18.505, 489, 283, 22.976, -18.497,"7x7  ","SULFATES                               ","BASSANITE        ","WRAYETAL2010        "
"DATA/","CRISM_TYPESPEC_CHLORIDE.LBL         ","CRISM_TYPESPEC_CHLORIDE         ",2014-04-15T05:01:00,"FRT0000AB81_07_IF164J_TER3              ", 413, 317,-31.562,-153.633, 413, 116,-31.621,-153.627,"13x13","OTHER HYDRATED SILICATES AND HALIDES   ","CHLORIDE         ","MURCHIEETAL2009     "
"DATA/","CRISM_TYPESPEC_CHLORITE.LBL         ","CRISM_TYPESPEC_CHLORITE         ",2014-04-15T05:01:00,"FRT0000A546_07_IF165J_TER3              ", 175, 269,  3.116,  57.807, 175, 298,  3.125,  57.807,"11x11","PHYLLOSILICATES                        ","CHLORITE         ","MICHALSKI&NILES2010 "
"DATA/","CRISM_TYPESPEC_CO2_ICE.LBL          ","CRISM_TYPESPEC_CO2_ICE          ",2014-04-15T05:01:00,"FRT00007E26_07_IF163J_TER3              ", 333, 349,-84.786, -61.459, 333, 257,-84.814, -61.271,"9x9  ","ICES                                   ","CO2_ICE          ","BROWNETAL2010       "
"DATA/","CRISM_TYPESPEC_EPIDOTE.LBL          ","CRISM_TYPESPEC_EPIDOTE          ",2014-04-15T05:01:00,"FRT0000CBE5_07_IF166J_TER3              ", 330,  16, 17.180,  76.404, 330,  48, 17.200,  76.402,"5x5  ","OTHER HYDRATED SILICATES AND HALIDES   ","EPIDOTE          ","CARTERETAL2013A     "
"DATA/","CRISM_TYPESPEC_FE_CA_CARBONATE.LBL  ","CRISM_TYPESPEC_FE_CA_CARBONATE  ",2014-04-15T05:01:00,"FRT0000A546_07_IF165J_TER3              ", 437,  63,  3.039,  57.737, 437, 162,  3.078,  57.736,"11x11","CARBONATES                             ","FE_CA_CARBONATE  ","MICHALSKI&NILES2010 "
"DATA/","CRISM_TYPESPEC_FE_OLIVINE.LBL       ","CRISM_TYPESPEC_FE_OLIVINE       ",2014-04-15T05:01:00,"FRT00003E12_07_IF166J_TER3              ", 443, 401, 22.310,  77.023, 443, 296, 22.271,  77.031,"9x9  ","IRON OXIDES AND PRIMARY SILICATES      ","FE_OLIVINE       ","MUSTARDETAL2009     "
"DATA/","CRISM_TYPESPEC_FE_SMECTITE.LBL      ","CRISM_TYPESPEC_FE_SMECTITE      ",2014-04-15T05:01:00,"FRT0000A425_07_IF166J_TER3              ",  98,  93, 25.198, -20.172,  98,  18, 25.153, -20.158,"7x7  ","PHYLLOSILICATES                        ","FE_SMECTITE      ","FARRANDETAL2009     "
"DATA/","CRISM_TYPESPEC_GYPSUM.LBL           ","CRISM_TYPESPEC_GYPSUM           ",2014-04-15T05:01:00,"HRL0000CA5C_07_IF185J_TER3              ",  31,  58, 80.372,-116.245,  31, 299, 80.560,-116.658,"11x11","SULFATES                               ","GYPSUM           ","CALVINETAL2009      "
"DATA/","CRISM_TYPESPEC_H2O_ICE.LBL          ","CRISM_TYPESPEC_H2O_ICE          ",2014-04-15T05:01:00,"HRL00002885_07_IF18J_TER3               ",  26, 412, 81.817,-170.831,  26, 397, 81.804,-170.806,"7x7  ","ICES                                   ","H2O_ICE          ","CULLETAL2010        "
"DATA/","CRISM_TYPESPEC_HCP.LBL              ","CRISM_TYPESPEC_HCP              ",2014-04-15T05:01:00,"FRT00009786_07_IF165J_TER3              ", 491, 263, 17.351,  71.804, 491, 275, 17.355,  71.803,"9x9  ","IRON OXIDES AND PRIMARY SILICATES      ","HCP              ","SKOKETAL2010        "
